,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
959,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,31,0.00,0.00,0.00,0.00,0.00,0.34,0.21,0.54,0.34,0.54
960,Phil Foden,eng ENG,FW,Manchester City,eng Premier League,22,0.54,0.29,0.83,0.54,0.83,0.29,0.23,0.52,0.29,0.52
962,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,27,0.21,0.15,0.35,0.18,0.32,0.27,0.11,0.38,0.22,0.33
970,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,30,0.36,0.24,0.61,0.24,0.49,0.30,0.14,0.43,0.20,0.34
974,Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
981,Przemysław Frankowski,pl POL,"DF,MF",Lens,fr Ligue 1,27,0.16,0.10,0.25,0.06,0.16,0.13,0.22,0.35,0.06,0.27
982,Ryan Fraser,sct SCO,FW,Newcastle Utd,eng Premier League,28,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20
985,Fred,br BRA,MF,Manchester Utd,eng Premier League,29,0.14,0.14,0.29,0.14,0.29,0.14,0.21,0.35,0.14,0.35
995,Angelo Fulgini,fr FRA,"MF,FW",Lens,fr Ligue 1,25,0.10,0.10,0.21,0.10,0.21,0.13,0.29,0.42,0.13,0.42
998,Matteo Gabbia,it ITA,DF,Milan,it Serie A,22,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
1000,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,22,1.18,1.18,2.37,1.18,2.37,1.42,0.22,1.64,1.42,1.64
1001,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,28,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.13,0.10,0.13
1015,Ignatius Ganago,cm CMR,FW,Lens,fr Ligue 1,23,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
1023,Eric García,es ESP,"DF,MF",Barcelona,es La Liga,21,0.06,0.00,0.06,0.06,0.06,0.10,0.02,0.11,0.10,0.11
1029,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,eng Premier League,18,0.47,0.32,0.79,0.47,0.79,0.48,0.16,0.64,0.48,0.64
1032,Aleix Garrido,es ESP,FW,Barcelona,es La Liga,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1036,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,17,0.07,0.14,0.21,0.07,0.21,0.11,0.13,0.24,0.11,0.24
1038,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1048,Ismaël Gharbi,es ESP,"MF,FW",Paris S-G,fr Ligue 1,18,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32
1054,Niko Gießelmann,de GER,DF,Union Berlin,de Bundesliga,30,0.00,0.14,0.14,0.00,0.14,0.08,0.11,0.19,0.08,0.19
1058,Bryan Gil,es ESP,"FW,DF",Sevilla,es La Liga,21,0.20,0.20,0.39,0.20,0.39,0.28,0.07,0.35,0.28,0.35
1061,Mario Gila,es ESP,DF,Lazio,it Serie A,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1068,Olivier Giroud,fr FRA,FW,Milan,it Serie A,35,0.55,0.21,0.76,0.42,0.63,0.53,0.17,0.70,0.44,0.61
1069,Serge Gnabry,de GER,"FW,MF",Bayern Munich,de Bundesliga,27,0.65,0.23,0.88,0.60,0.83,0.52,0.25,0.76,0.48,0.73
1073,Pierluigi Gollini,it ITA,GK,Napoli,it Serie A,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1083,Papu Gómez,ar ARG,"FW,MF",Sevilla,es La Liga,34,0.08,0.08,0.17,0.08,0.17,0.12,0.15,0.27,0.12,0.27
1085,Sergio Gómez,es ESP,"DF,MF",Manchester City,eng Premier League,21,0.00,0.26,0.26,0.00,0.26,0.09,0.30,0.39,0.09,0.39
1086,Antonio Gomis,es ESP,GK,Atlético Madrid,es La Liga,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1098,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,eng Premier League,21,0.18,0.00,0.18,0.18,0.18,0.31,0.17,0.48,0.31,0.48
1100,Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,27,0.16,0.10,0.26,0.16,0.26,0.25,0.12,0.37,0.25,0.37
1101,Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,25,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08
1102,Robin Gosens,de GER,DF,Inter,it Serie A,28,0.23,0.00,0.23,0.23,0.23,0.23,0.18,0.41,0.23,0.41
1107,Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,29,0.03,0.10,0.13,0.03,0.13,0.03,0.04,0.06,0.03,0.06
1110,Ryan Gravenberch,nl NED,MF,Bayern Munich,de Bundesliga,20,0.00,0.00,0.00,0.00,0.00,0.14,0.08,0.21,0.14,0.21
1115,Ivo Grbić,hr CRO,GK,Atlético Madrid,es La Liga,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1116,Jack Grealish,eng ENG,FW,Manchester City,eng Premier League,26,0.22,0.31,0.53,0.22,0.53,0.20,0.31,0.51,0.20,0.51
1123,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,es La Liga,31,0.47,0.50,0.98,0.47,0.98,0.39,0.44,0.83,0.39,0.83
1125,Lennart Grill,de GER,GK,Union Berlin,de Bundesliga,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1135,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,es La Liga,30,0.10,0.03,0.13,0.10,0.13,0.06,0.01,0.07,0.06,0.07
1142,Raphaël Guerreiro,pt POR,"DF,MF",Dortmund,de Bundesliga,28,0.16,0.47,0.63,0.16,0.63,0.11,0.30,0.41,0.11,0.41
1146,Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,25,0.00,0.00,0.00,0.00,0.00,0.01,0.28,0.29,0.01,0.29
1147,Pape Gueye,sn SEN,MF,Sevilla,es La Liga,23,0.08,0.23,0.31,0.08,0.31,0.10,0.09,0.18,0.10,0.18
1151,Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,24,0.13,0.17,0.30,0.13,0.30,0.09,0.13,0.23,0.09,0.23
1155,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1159,İlkay Gündoğan,de GER,MF,Manchester City,eng Premier League,31,0.31,0.15,0.46,0.31,0.46,0.29,0.13,0.41,0.26,0.38
1167,Joško Gvardiol,hr CRO,DF,RB Leipzig,de Bundesliga,20,0.04,0.00,0.04,0.04,0.04,0.08,0.03,0.10,0.08,0.10
1173,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,22,1.17,0.26,1.43,0.94,1.20,0.92,0.17,1.10,0.75,0.92
1175,Janik Haberer,de GER,MF,Union Berlin,de Bundesliga,28,0.21,0.04,0.25,0.21,0.25,0.13,0.09,0.22,0.13,0.22
1181,Amadou Haidara,ml MLI,MF,RB Leipzig,de Bundesliga,24,0.13,0.06,0.19,0.13,0.19,0.18,0.09,0.27,0.18,0.27
1182,Massadio Haïdara,ml MLI,"DF,MF",Lens,fr Ligue 1,29,0.00,0.05,0.05,0.00,0.05,0.11,0.06,0.17,0.11,0.17
1183,Achraf Hakimi,ma MAR,"DF,MF",Paris S-G,fr Ligue 1,23,0.22,0.13,0.35,0.22,0.35,0.17,0.13,0.30,0.17,0.30
1185,Sébastien Haller,ci CIV,FW,Dortmund,de Bundesliga,28,0.66,0.22,0.88,0.66,0.88,0.62,0.17,0.79,0.56,0.73
1186,Marcel Halstenberg,de GER,DF,RB Leipzig,de Bundesliga,30,0.06,0.06,0.12,0.06,0.12,0.06,0.12,0.19,0.06,0.19
1192,Samir Handanović,si SVN,GK,Inter,it Serie A,38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1194,Genki Haraguchi,jp JPN,MF,Union Berlin,de Bundesliga,31,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.09,0.05,0.09
1204,Eden Hazard,be BEL,FW,Real Madrid,es La Liga,31,0.00,0.46,0.46,0.00,0.46,0.45,0.23,0.67,0.08,0.31
1205,Thorgan Hazard,be BEL,"FW,DF",Dortmund,de Bundesliga,29,0.00,0.00,0.00,0.00,0.00,0.26,0.18,0.44,0.26,0.44
1217,Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,de Bundesliga,25,0.08,0.08,0.16,0.08,0.16,0.05,0.07,0.12,0.05,0.12
1225,Mario Hermoso,es ESP,DF,Atlético Madrid,es La Liga,27,0.13,0.09,0.21,0.13,0.21,0.09,0.06,0.15,0.09,0.15
1228,Lucas Hernández,fr FRA,DF,Bayern Munich,de Bundesliga,26,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
1231,Theo Hernández,fr FRA,DF,Milan,it Serie A,24,0.13,0.10,0.23,0.10,0.19,0.13,0.11,0.24,0.11,0.21
1250,Rob Holding,eng ENG,DF,Arsenal,eng Premier League,26,0.16,0.00,0.16,0.16,0.16,0.05,0.00,0.05,0.05,0.05
1261,Ilyes Housni,fr FRA,FW,Paris S-G,fr Ligue 1,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1268,Mats Hummels,de GER,DF,Dortmund,de Bundesliga,33,0.04,0.00,0.04,0.04,0.04,0.10,0.05,0.15,0.10,0.15
1272,Elseid Hysaj,al ALB,DF,Lazio,it Serie A,28,0.05,0.05,0.09,0.05,0.09,0.01,0.05,0.06,0.01,0.06
1279,Arijon Ibrahimović,de GER,MF,Bayern Munich,de Bundesliga,16,0.00,0.00,0.00,0.00,0.00,3.31,0.37,3.68,3.31,3.68
1280,Zlatan Ibrahimović,se SWE,FW,Milan,it Serie A,40,0.62,0.00,0.62,0.00,0.00,0.72,0.11,0.84,0.24,0.35
1294,Asier Illarramendi,es ESP,MF,Real Sociedad,es La Liga,32,0.08,0.00,0.08,0.08,0.08,0.07,0.03,0.10,0.07,0.10
1295,Ciro Immobile,it ITA,FW,Lazio,it Serie A,32,0.49,0.20,0.69,0.32,0.53,0.57,0.08,0.65,0.42,0.49
1301,Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,22,0.59,0.06,0.65,0.47,0.53,0.49,0.13,0.62,0.40,0.52
1302,Alexander Isak,se SWE,FW,Real Sociedad,es La Liga,22,0.59,0.00,0.59,0.59,0.59,0.12,0.06,0.18,0.12,0.18
1303,Isco,es ESP,"MF,FW",Sevilla,es La Liga,30,0.00,0.23,0.23,0.00,0.23,0.05,0.19,0.24,0.05,0.24
1309,Diego Iturralde,es ESP,DF,Sevilla,es La Liga,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1317,Paul Jaeckel,de GER,DF,Union Berlin,de Bundesliga,24,0.08,0.00,0.08,0.08,0.08,0.01,0.00,0.01,0.01,0.01
1330,Adnan Januzaj,be BEL,FW,Sevilla,es La Liga,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1341,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,25,0.48,0.26,0.74,0.44,0.70,0.61,0.17,0.78,0.58,0.75
1342,Juan Jesus,br BRA,DF,Napoli,it Serie A,31,0.10,0.00,0.10,0.10,0.10,0.02,0.01,0.02,0.02,0.02
1345,Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,25,0.20,0.03,0.24,0.20,0.24,0.24,0.08,0.32,0.24,0.32
1353,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,25,0.07,0.14,0.21,0.07,0.21,0.09,0.15,0.24,0.09,0.24
1354,Joan Jordán,es ESP,MF,Sevilla,es La Liga,28,0.00,0.06,0.06,0.00,0.06,0.05,0.03,0.08,0.05,0.08
1355,Jorginho,it ITA,MF,Arsenal,eng Premier League,30,0.00,0.11,0.11,0.00,0.11,0.02,0.02,0.04,0.02,0.04
1373,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,22,0.32,0.29,0.61,0.32,0.61,0.34,0.30,0.63,0.34,0.63
1374,Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,26,0.19,0.10,0.29,0.10,0.19,0.15,0.14,0.30,0.08,0.22
1386,Gaël Kakuta,cd COD,FW,Lens,fr Ligue 1,31,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
1392,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,22,0.04,0.00,0.04,0.04,0.04,0.05,0.04,0.10,0.05,0.10
1400,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,31,0.13,0.13,0.26,0.13,0.26,0.07,0.07,0.14,0.07,0.14
1411,Jon Karrikaburu,es ESP,FW,Real Sociedad,es La Liga,19,0.00,0.00,0.00,0.00,0.00,0.28,0.31,0.60,0.28,0.60
1431,Franck Kessié,ci CIV,MF,Barcelona,es La Liga,25,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23
1434,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,28,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
1439,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,27,0.16,0.19,0.35,0.13,0.32,0.07,0.22,0.30,0.05,0.27
1440,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,26,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10
1441,Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,22,0.21,0.00,0.21,0.21,0.21,0.02,0.01,0.03,0.02,0.03
1443,Simon Kjær,dk DEN,DF,Milan,it Serie A,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1446,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,26,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05
1449,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,30,0.06,0.09,0.16,0.03,0.13,0.07,0.03,0.10,0.03,0.05
1450,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1456,Koke,es ESP,MF,Atlético Madrid,es La Liga,30,0.00,0.11,0.11,0.00,0.11,0.03,0.06,0.09,0.03,0.09
1463,Geoffrey Kondogbia,cf CTA,MF,Atlético Madrid,es La Liga,29,0.00,0.18,0.18,0.00,0.18,0.07,0.08,0.14,0.07,0.14
1476,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,23,0.04,0.11,0.15,0.04,0.15,0.04,0.10,0.15,0.04,0.15
1483,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1490,Toni Kroos,de GER,MF,Real Madrid,es La Liga,32,0.08,0.17,0.25,0.08,0.25,0.06,0.19,0.24,0.06,0.24
1491,Rade Krunić,ba BIH,MF,Milan,it Serie A,28,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.12,0.06,0.12
1494,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,es La Liga,21,0.33,0.15,0.48,0.33,0.48,0.21,0.22,0.43,0.21,0.43
1501,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,21,0.43,0.36,0.79,0.36,0.71,0.29,0.27,0.56,0.23,0.51
1509,Rémy Labeau Lascary,gp GLP,"FW,MF",Lens,fr Ligue 1,19,0.00,0.00,0.00,0.00,0.00,0.28,0.03,0.32,0.28,0.32
1516,Aïssa Laïdouni,tn TUN,MF,Union Berlin,de Bundesliga,25,0.21,0.00,0.21,0.21,0.21,0.09,0.09,0.18,0.09,0.18
1517,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,25,0.18,0.00,0.18,0.18,0.18,0.15,0.14,0.29,0.15,0.29
1522,Érik Lamela,ar ARG,"FW,MF",Sevilla,es La Liga,30,0.29,0.00,0.29,0.29,0.29,0.26,0.07,0.33,0.26,0.33
1528,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,28,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
1536,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,28,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
1545,Marko Lazetić,rs SRB,FW,Milan,it Serie A,18,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.63,0.63
1547,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,28,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
1549,Julien Le Cardinal,fr FRA,DF,Lens,fr Ligue 1,24,0.00,0.00,0.00,0.00,0.00,0.31,0.35,0.66,0.31,0.66
1554,Robin Le Normand,es ESP,DF,Real Sociedad,es La Liga,25,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
1555,Rafael Leão,pt POR,"FW,MF",Milan,it Serie A,23,0.56,0.30,0.86,0.56,0.86,0.40,0.26,0.66,0.40,0.66
1557,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1563,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,23,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.05,0.03,0.05
1567,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,26,0.07,0.22,0.29,0.07,0.29,0.07,0.14,0.21,0.07,0.21
1583,Alexandre Letellier,fr FRA,GK,Paris S-G,fr Ligue 1,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1586,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,33,0.73,0.22,0.95,0.73,0.95,0.77,0.20,0.97,0.74,0.94
1587,Jamie Leweling,de GER,"FW,MF",Union Berlin,de Bundesliga,21,0.34,0.34,0.68,0.34,0.68,0.22,0.09,0.32,0.22,0.32
1588,Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,eng Premier League,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1589,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,17,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.17,0.02,0.17
1593,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,22,0.11,0.04,0.15,0.11,0.15,0.04,0.02,0.06,0.04,0.06
1595,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,28,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
1607,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,27,0.05,0.11,0.16,0.05,0.16,0.11,0.20,0.32,0.11,0.32
1610,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,27,0.03,0.03,0.06,0.03,0.06,0.02,0.03,0.05,0.02,0.05
1618,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,24,0.04,0.14,0.18,0.04,0.18,0.13,0.12,0.25,0.13,0.25
1636,Hirving Lozano,mx MEX,FW,Napoli,it Serie A,27,0.17,0.17,0.34,0.11,0.28,0.30,0.19,0.49,0.26,0.45
1645,Romelu Lukaku,be BEL,FW,Inter,it Serie A,29,0.54,0.33,0.87,0.43,0.76,0.49,0.22,0.71,0.40,0.62
